cuffids	scaffold	cuffstart	cuffstop	annstart	annstop	ongene	oncds	onmRNA	onexon	onte	onprotein	onmatch	neargene	nearcds	nearmRNA	nearexon	nearte	nearprotein	nearmatch	numneargenes	IPRnumber	IPRtext	GOnumber	GOtext
39.1	1095.0	106285.0	106387.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
54.1	1095.0	155803.0	157177.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
59.1	1095.0	182438.0	182891.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
124.1	1095.0	1120516.0	1120695.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
234.2	1095.0	2037500.0	2038170.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
304.1	1095.0	2698645.0	2698895.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
319.1	1095.0	2731468.0	2731675.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
335.1	1095.0	2871492.0	2871526.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
336.1	1095.0	2877767.0	2877882.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
345.1	1095.0	2845190.0	2845675.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
348.1	1095.0	2912494.0	2913048.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
351.1	1095.0	3022470.0	3022624.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
449.1	1095.0	4033721.0	4034670.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
453.1	1095.0	4194155.0	4194300.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
479.1	1095.0	4446358.0	4446927.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
521.1	1095.0	4929331.0	4929420.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
573.1	1095.0	5896193.0	5897050.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
622.1	1095.0	6405061.0	6406174.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
692.1	1095.0	6897318.0	6897476.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
706.1	1095.0	7087895.0	7088076.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
715.1	1095.0	6360214.0	6360398.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
715.1	1095.0	6360214.0	6360802.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
741.1	1095.0	6964857.0	6965076.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
780.1	1095.0	7864322.0	7864576.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
786.1	1095.0	7975776.0	7976095.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
796.1	1095.0	8260191.0	8260655.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
882.1	11.0	325113.0	325998.0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
