cuffids	scaffold	start	stop
39.1	1095	106285	106387
54.1	1095	155803	157177
59.1	1095	182438	182891
124.1	1095	1120516	1120695
234.2	1095	2037500	2038170
304.1	1095	2698645	2698895
319.1	1095	2731468	2731675
335.1	1095	2871492	2871526
336.1	1095	2877767	2877882
345.1	1095	2845190	2845675
348.1	1095	2912494	2913048
351.1	1095	3022470	3022624
449.1	1095	4033721	4034670
453.1	1095	4194155	4194300
479.1	1095	4446358	4446927
521.1	1095	4929331	4929420
573.1	1095	5896193	5897050
622.1	1095	6405061	6406174
692.1	1095	6897318	6897476
706.1	1095	7087895	7088076
715.1	1095	6360214	6360398
715.1	1095	6360214	6360802
741.1	1095	6964857	6965076
780.1	1095	7864322	7864576
786.1	1095	7975776	7976095
796.1	1095	8260191	8260655
882.1	11	325113	325998
900.1	11	394684	395395
916.1	11	626019	627848
916.1	11	626019	627848
932.1	11	1046513	1046725
1017.1	11	2934822	2935990
1018.1	11	2948459	2948663
1093.1	11	3820667	3820760
1123.1	11	4262195	4262444
1229.2	11	5967881	5968475
1270.1	11	5993314	5993628
1274.1	11	6251318	6251841
1274.1	11	6251948	6252103
1436.1	11	7818928	7819250
1451.1	11	7971620	7971983
1460.1	11	8044177	8045663
1463.1	11	8119389	8121202
1464.1	11	8129263	8129505
1465.1	11	7891832	7892241
1525.1	11	8774987	8775845
1563.1	11	9091787	9092208
1571.1	11	9081438	9081772
1572.1	11	9160930	9161109
1649.1	11	9410994	9411672
1683.1	11	9997497	9998344
1701.1	11	10212380	10212569
1755.1	11	10448681	10449533
1755.1	11	10448983	10449217
1755.1	11	10448681	10448797
1780.1	11	10826473	10826633
1785.1	11	10800198	10800603
1794.2	11	10889181	10889332
1877.1	11	11629016	11629364
1915.1	11	12313201	12314019
1919.1	11	12296133	12296546
2007.1	11	13738237	13738417
2128.1	11	14665553	14665758
2363.1	11	16242595	16242742
2377.1	11	16373312	16373553
2448.1	11	16989733	16991197
2448.1	11	16990521	16990661
2477.1	11	17198859	17198958
2537.1	11	17591148	17591307
2627.1	1212	1507	2150
2675.1	1442	545	1098
2712.1	1573	183	803
2757.1	1627	242446	242691
2849.1	1627	1132865	1133018
2978.1	1627	2161603	2161731
3048.2	1627	3078281	3078374
3109.2	1627	3672539	3673903
3188.1	1627	5364338	5364840
3236.1	1627	6019392	6019512
3240.1	1627	6020909	6021238
3244.1	1627	6140002	6140887
3284.1	1627	6550989	6551119
3337.1	1628	322674	322771
3337.1	1628	323227	323290
3396.1	1628	634396	636114
3464.1	1628	1171760	1171782
3538.1	1628	1920030	1920343
3607.1	1628	2753262	2754713
3615.1	1628	2949633	2949791
3636.1	1628	2828868	2829250
3673.1	1628	3884063	3884237
3678.3	1628	3527914	3528054
3703.1	1628	4272421	4274415
3704.1	1628	4286165	4286402
3895.2	1628	5775704	5775767
3959.1	1628	6037413	6037429
3998.1	1628	6534073	6534256
4015.1	1628	6675109	6675412
4087.1	1628	7153029	7154209
4158.1	1628	7578213	7580084
4181.1	1628	7939933	7940297
4185.1	1628	8006771	8006818
4204.1	1628	8065636	8066431
4225.1	1628	7345895	7346784
4234.1	1628	8375270	8375445
4300.1	1628	9075543	9075708
4306.1	1628	9269096	9269263
4334.1	1628	9368534	9368664
4347.1	1628	9423460	9423557
4394.1	1628	9824464	9824906
4457.1	1628	10531841	10532039
4459.1	1628	10537891	10538131
4485.1	1628	10699456	10699547
4517.1	1628	10780833	10781184
4546.1	1628	10865081	10865323
4546.1	1628	10865957	10866089
4638.1	1628	11326588	11327255
4657.2	1628	11497927	11498049
4657.3	1628	11500267	11500544
4736.1	1628	12102130	12102365
4739.1	1628	12088821	12089051
4757.1	1628	12193031	12193116
4764.1	1628	12225294	12225363
4791.1	1628	12489081	12489376
4817.1	1628	12849136	12849576
4819.1	1628	12850244	12850438
4843.1	1628	13111799	13111970
4843.1	1628	13114359	13114687
4848.1	1628	13173912	13174551
4865.2	1628	13191059	13191346
4913.1	1628	14100185	14100506
5056.1	1628	16151586	16151913
5058.1	1628	16185898	16186183
5069.1	1628	16343823	16343967
5113.1	1628	16738696	16739726
5126.1	1628	16785409	16785535
5150.2	1628	16838469	16838619
5232.1	1628	17811362	17811383
5413.1	1628	19518902	19519987
5423.1	1628	19552554	19552907
5426.1	1628	19538344	19538563
5441.1	1628	19866829	19866987
5556.1	1628	20499215	20501289
5590.1	1628	20895351	20895535
5623.1	1628	21401781	21401847
5749.2	1628	22437827	22438062
5765.1	1628	22667175	22667333
5844.1	1631	4651	4801
5870.1	1631	357370	357835
5937.1	1631	1149403	1153641
6016.1	1631	2523787	2523895
6056.1	1631	2844809	2847467
6099.1	1631	3226420	3227195
6090.1	1631	2941858	2942093
6112.1	1631	3312821	3313029
6123.1	1631	3323516	3323698
6155.1	1631	3568040	3568394
6214.1	1631	4278439	4280049
6269.1	1631	4690512	4691328
6323.1	1631	5313436	5315572
6339.1	1631	5366486	5367058
6349.1	1631	5406804	5407765
6483.1	1631	6427866	6428548
6530.1	1631	6738403	6742196
6538.1	1631	6916625	6916856
6541.1	1631	6907076	6908759
6542.1	1631	6955938	6956584
6737.1	1631	8377999	8378315
6778.1	1631	8640621	8641857
6798.1	1631	8776368	8776524
6817.1	1631	8868205	8868431
6827.1	1631	8969056	8969811
6855.1	1631	9506204	9506707
6874.1	1631	9553988	9554087
6928.1	1631	9952609	9954194
6958.1	1631	10115416	10115655
6965.1	1631	10128381	10128485
6973.1	1631	10141749	10143685
7038.1	1631	10594218	10594998
7156.1	1631	11936441	11936881
7188.1	1631	12117665	12118406
7193.1	1631	12126143	12127059
7283.1	1631	12921756	12922023
7341.1	1631	13302556	13302737
7352.1	1631	13336886	13336977
7364.2	1631	13213887	13214403
7364.2	1631	13213887	13214080
7365.1	1631	13213887	13214816
7492.1	1631	15058627	15058998
7522.1	1631	15305898	15306084
7523.1	1631	15316125	15316314
7524.1	1631	15340413	15340645
7536.1	1631	15461799	15463008
7585.1	1631	15947573	15948093
7614.1	1631	16088190	16088310
7621.1	1631	16113529	16114299
7650.1	1631	16373675	16374575
7729.1	1631	17106215	17106421
7790.1	1631	17514213	17514364
7828.1	1631	14761859	14761949
7972.1	1631	19379177	19379291
7993.1	1631	19601038	19601589
8000.1	1631	19610349	19610775
8270.1	1632	1062210	1062429
8331.1	1632	1600254	1600616
8361.1	1632	1902282	1902655
8405.1	1632	2357145	2357250
8468.1	1632	3254087	3254204
8480.1	1632	3620910	3621253
8520.1	1632	3974037	3974457
8522.1	1632	4072131	4072319
8529.1	1632	4119895	4120107
8528.1	1632	4112350	4112536
8530.1	1632	4109394	4111097
8562.1	1632	4732639	4732670
8608.1	1632	5380120	5380279
8614.1	1632	5435149	5435197
8730.1	1632	5895307	5896034
8749.1	1632	6117402	6118500
8864.1	1632	6707571	6707780
8963.1	1632	8560156	8560334
8969.1	1632	8584290	8584384
8970.1	1632	8576963	8578375
9004.1	1632	8908021	8909073
9026.1	1632	8504975	8505200
9049.2	1632	8506926	8511444
9069.1	1632	9560209	9560444
